,Image,F1,Jaccard,Recall,Precision
0,C:\Users\ishic\Downloads\archive\images\968.png,0.07731009939869922,0.040209343885626754,0.3879310344827586,0.04293307891508791
1,C:\Users\ishic\Downloads\archive\images\966.png,0.05787445293618133,0.02979954258038477,0.9287211740041929,0.029867853290183387
2,C:\Users\ishic\Downloads\archive\images\96.png,0.11559888579387187,0.06134515890613452,0.9410430839002267,0.06158183706781421
